iter	Passed	Remaining
0	10	991
1	20	986
2	32	1054
3	35	840
4	37	712
5	39	622
6	42	558
7	44	510
8	46	471
9	48	440
10	51	414
11	53	393
12	55	372
13	57	355
14	60	341
15	62	327
16	64	315
17	66	304
18	69	294
19	71	285
20	73	277
21	76	269
22	78	262
23	80	255
24	82	248
25	85	242
26	87	236
27	89	230
28	91	224
29	93	219
30	96	213
31	98	209
32	101	205
33	103	200
34	105	195
35	107	191
36	109	187
37	112	184
38	115	179
39	117	175
40	119	171
41	120	166
42	122	162
43	125	159
44	127	155
45	129	152
46	132	148
47	134	145
48	136	142
49	138	138
50	140	135
51	143	132
52	145	129
53	147	125
54	149	122
55	151	118
56	153	115
57	155	112
58	158	109
59	160	106
60	162	103
61	164	100
62	167	98
63	170	95
64	172	92
65	174	90
66	176	87
67	179	84
68	181	81
69	183	78
70	185	75
71	188	73
72	190	70
73	192	67
74	194	64
75	196	62
76	199	59
77	201	56
78	203	54
79	206	51
80	208	48
81	210	46
82	213	43
83	215	41
84	217	38
85	220	35
86	222	33
87	224	30
88	226	28
89	228	25
90	231	22
91	233	20
92	235	17
93	237	15
94	240	12
95	242	10
96	244	7
97	247	5
98	249	2
99	251	0
