iter	Passed	Remaining
0	1269	1268712
1	1275	636709
2	1287	427851
3	1290	321296
4	1308	260359
5	1319	218653
6	1322	187635
7	1335	165654
8	1338	147377
9	1346	133341
10	1350	121414
11	1353	111449
12	1368	103879
13	1376	96933
14	1381	90689
15	1384	85120
16	1388	80301
17	1393	76033
18	1397	72130
19	1400	68606
20	1408	65654
21	1410	62721
22	1413	60046
23	1421	57794
24	1424	55566
25	1427	53479
26	1430	51537
27	1437	49888
28	1439	48197
29	1442	46627
30	1444	45159
31	1451	43915
32	1455	42640
33	1457	41420
34	1463	40347
35	1468	39311
36	1470	38279
37	1473	37296
38	1475	36364
39	1481	35564
40	1485	34756
41	1489	33979
42	1495	33291
43	1512	32868
44	1530	32483
45	1556	32282
46	1561	31659
47	1565	31045
48	1576	30595
49	1583	30087
50	1597	29728
51	1608	29316
52	1622	28981
53	1626	28491
54	1637	28142
55	1647	27770
56	1672	27661
57	1681	27314
58	1702	27152
59	1716	26884
60	1719	26462
61	1727	26142
62	1740	25893
63	1746	25546
64	1755	25248
65	1764	24972
66	1773	24703
67	1779	24394
68	1788	24135
69	1802	23947
70	1811	23696
71	1820	23458
72	1823	23155
73	1827	22865
74	1834	22625
75	1851	22506
76	1854	22230
77	1864	22039
78	1869	21791
79	1876	21575
80	1880	21335
81	1891	21176
82	1894	20933
83	1898	20702
84	1901	20471
85	1910	20309
86	1913	20082
87	1916	19856
88	1922	19676
89	1926	19482
90	1930	19281
91	1939	19142
92	1942	18942
93	1945	18752
94	1951	18587
95	1954	18405
96	1957	18222
97	1960	18045
98	1966	17893
99	1968	17720
100	1971	17546
101	1973	17377
102	1976	17210
103	1982	17075
104	1985	16925
105	1988	16770
106	1990	16614
107	1998	16505
108	2001	16360
109	2003	16213
110	2006	16069
111	2013	15963
112	2016	15830
113	2019	15693
114	2022	15561
115	2026	15440
116	2028	15312
117	2032	15191
118	2039	15102
119	2042	14977
120	2044	14854
121	2046	14729
122	2052	14635
123	2056	14527
124	2059	14416
125	2062	14303
126	2068	14215
127	2074	14131
128	2080	14049
129	2087	13973
130	2098	13918
131	2103	13834
132	2124	13849
133	2147	13879
134	2153	13800
135	2163	13747
136	2179	13728
137	2184	13646
138	2199	13622
139	2202	13531
140	2213	13482
141	2215	13384
142	2231	13375
143	2238	13305
144	2245	13238
145	2248	13155
146	2261	13123
147	2264	13035
148	2276	13004
149	2286	12954
150	2293	12895
151	2300	12835
152	2308	12780
153	2312	12704
154	2320	12649
155	2331	12616
156	2343	12584
157	2358	12569
158	2364	12505
159	2368	12436
160	2384	12423
161	2394	12384
162	2397	12313
163	2401	12240
164	2416	12226
165	2424	12179
166	2429	12116
167	2443	12102
168	2453	12066
169	2460	12014
170	2476	12005
171	2488	11980
172	2499	11950
173	2505	11892
174	2508	11826
175	2518	11789
176	2522	11726
177	2525	11662
178	2530	11606
179	2534	11545
180	2542	11504
181	2547	11448
182	2550	11387
183	2559	11350
184	2562	11289
185	2565	11229
186	2575	11197
187	2579	11139
188	2582	11079
189	2589	11038
190	2592	10981
191	2595	10923
192	2604	10891
193	2607	10832
194	2609	10773
195	2613	10720
196	2622	10691
197	2625	10636
198	2637	10618
199	2643	10572
200	2656	10561
201	2668	10542
202	2675	10504
203	2685	10480
204	2689	10428
205	2704	10425
206	2707	10373
207	2720	10359
208	2729	10330
209	2734	10285
210	2767	10349
211	2771	10300
212	2783	10283
213	2803	10297
214	2815	10279
215	2819	10232
216	2851	10288
217	2873	10306
218	2883	10282
219	2888	10240
220	2891	10192
221	2900	10165
222	2904	10119
223	2915	10101
224	2919	10054
225	2924	10017
226	2934	9992
227	2943	9965
228	2946	9921
229	2950	9877
230	2957	9845
231	2959	9797
232	2962	9751
233	2964	9704
234	2972	9677
235	2975	9632
236	2978	9587
237	2980	9542
238	2985	9507
239	2990	9469
240	2993	9427
241	3002	9403
242	3005	9361
243	3007	9319
244	3010	9276
245	3017	9248
246	3020	9209
247	3023	9166
248	3025	9125
249	3031	9094
250	3034	9054
251	3036	9013
252	3039	8973
253	3043	8937
254	3047	8902
255	3049	8863
256	3053	8826
257	3061	8804
258	3064	8768
259	3068	8732
260	3071	8697
261	3075	8662
262	3078	8625
263	3081	8589
264	3088	8567
265	3091	8531
266	3094	8495
267	3096	8458
268	3103	8434
269	3106	8399
270	3109	8364
271	3112	8329
272	3119	8306
273	3122	8272
